text	link
"Лариса Ермошина живет в городе Донской Тульской области и работает на обувной фабрике. Муж, дочь, работа, дом — обычная жизнь.

Но с некоторых пор Лариса почувствовала, будто что-то с нею не так. Что именно не так? Нельзя было сказать внятно.

Что-то болело? Ну, иногда что-то болело. В сорок восемь лет уже часто что-то болит: то голова, то спина. Но болело не сильно, а чувство «что-то не так» было сильное.

Лариса пошла к врачу. Не сформулировала внятно никаких жалоб, и доктор внятно ничего не сказал. Пошла к другому врачу. На что жалуетесь? Головокружения. У всех головокружения. Но степень своих головокружений Лариса не могла передать.

Близкие ей сочувствовали. Друзья. Сослуживцы. Коллега, живущая в соседнем доме, однажды предложила Ларисе возить ее на работу. Прежде Лариса ездила на общественном транспорте, а у коллеги была машина. Лариса согласилась.

Приезжала на работу, сидела на рабочем месте и не могла приклеить ни одной подошвы ни к одному башмаку.
Мастер их цеха тоже сочувствовала Ларисе, отпускала, давала отгулы. Но помочь ничем не могла.

Может быть, тебе к психиатру? Так спрашивали все чаще люди вокруг Ларисы. Может быть это что-то психическое? Кроме психиатра Лариса обошла в городе Донском Тульской области всех врачей.

Тем временем ее состояние все ухудшалось. Она не могла уже не то что работать, но даже сидеть не могла, только лежала. И муж с дочерью кормили ее из ложечки.


Наконец, Лариса решилась. Кое-как из последних сил пошла к тому самому первому терапевту, чтобы тот дал ей направление к психиатру.

Доктор, не видевший Ларису несколько месяцев, теперь сказал: «Тебе не надо к психиатру. Я знаю, что у тебя».
Это называется «габитус», внешний вид, по которому опытный врач часто может поставить диагноз довольно верно. У Ларисы был острый миелоидный лейкоз – рак крови. И за те несколько месяцев, что доктор не видел Ларису, это стало очевидно.

Когда Лариса попала, наконец, к гематологу и получила, наконец, диагноз «лейкоз», вот тут-то ей и понадобился психиатр. Она рассчитывала, что когда ей скажут, что с ней, она испытает облегчение. Но испытала панику.

Жуткие панические атаки одна за другой. Только после четвертого курса химиотерапии панические атаки прошли, а так приходилось контролировать их медикаментозно.
Теперь Ларисе нужна трансплантация костного мозга. Поиск и активация донора стоит сотни тысяч рублей. Откуда у работницы обувной фабрики в городе Донской Тульской области такие деньги?


Фонд борьбы с лейкемией собирает половину необходимой суммы – 200 000 рублей – чтобы оплатить процедуру по поиску донора в российском реестре, а затем его активации.

Пусть у Ларисы полностью проходят панческие атаки. Пусть ее успокаивает мысль о том, что донор найден, что ее выздоровление – реально, и что она будет жить.

Текст: Валерий Панюшкин.
Фото: личный архив."	https://dobro.mail.ru/projects/zhizn-dlya-larisyi/
"Удар был такой силы, что Шанс встать уже не смог. Автомобиль уехал, а сбитый пес остался лежать, истекая кровью, в грязном мартовском снегу.


Пост о пострадавшем животном опубликовала в соцсетях девушка, которая не смогла пройти мимо раненого животного. После этого волонтеры отвезли пса в клинику, его прооперировали.
Очень хочется сообщить о том, что Шанс поправился, и его взяли в свой дом неравнодушные люди. Но этого еще не произошло. Сейчас спасенный пес ждет любящего хозяина.

Пока же волонтеры оплачивают временное размещение собаки, так называемую передержку. Дело в том, что в условиях приюта Шансу не выжить, после сложной операции ему требуется особый уход. Пес ходит с помощью специальной конструкции с колесами, служащей ему дополнительной опорой.

Собака по кличке Зоя попала в муниципальный приют в апреле 2016 года. Там она сидела в тесном вольере с пятью другими сородичами.

От стресса Зоя почти не двигалась. Не выходила из вольера, не бегала, а еще и отказывалась от еды.
За год в приюте Зоя пережила многое: и обиды от других собак, и болезни... Теперь же, когда Зоя стала подпечной фонда, ее заболевания вылечены, собака здорова. Заново, хоть и с трудом, она стала «общаться» с людьми, слушать их, принимать пищу.

Подобных историй, как о Шансе и Зое, волонтеры фонда «РЭЙ» знают немало. Недавно фонд приобрел в собственность земельный участок площадью 25 соток, чтобы построить на нем большой и комфортный временный дом для бездомных животных.


Здание будет благоустроено для реабилитации кошек и собак, получивших серьезные травмы, переживших жестокое обращение или разлуку с хозяином.

Сейчас фонд собирает средства на один из первых этапов строительства – возведение «коробки» – стен, перекрытий и крыши дома. Для этого выбраны простые, но надежные и оптимальные по цене и качеству материалы: газобетонные блоки для стен, бетонные плиты для перекрытий и гибкая черепица для кровли.

В концепции и планировках будущего РэйДома заложен принцип раздельного содержания животных согласно их психотипу и состоянию здоровья.

Если бы, к примеру, собака Зоя сразу жила в РэйДоме, то она намного быстрее научилась доверять человеку, скорее всего, избежала бы неприятных болезней и, возможно, уже жила в заботливой семье.


Сейчас фонд оказывает поддержку 30 приютам (как частным, так и муниципальным), в которых содержится более 15 000 кошек и собак. Всем этим животным нужны корм, медикаменты,  ветеринарные препараты.

Многим собакам и кошкам не хватает элементарного общения с человеком и, конечно, всем им нужны хозяева.

Найти бездомному животному хозяина и дом – главная цель работы любого волонтера, приюта или зоозащитного фонда.
Бывает и так, что некоторых собак и кошек их новые хозяева возвращают обратно в приют. Ведь для того, чтобы адаптация у питомцев, и у людей прошла безболезненно, животных нужно к этому подготовить.

В приюте это сделать невозможно. За счет домашних условий проживания в РэйДоме, а также благодаря работе зоопсихологов, волонтерам удастся сделать так, чтобы возвратов животный было как можно меньше.


Фонд помощи бездомным животным «Рэй» собирает 494 500 рублей на строительство большого и комфортного дома для временного содержания бездомных животных.

Давайте поможем создать такие условия бездомным собакам и кошкам, чтобы все они нашли хозяев и не расставались с ними."	https://dobro.mail.ru/projects/rejdom-vsem-budet-uyutno-v-nem/
"«Доброе утро, Любовь Алексеевна! Вот молоко, творог вам к завтраку несу!» – с улыбкой заходит в квартиру к пенсионерке, подопечной Общественной организации «Солнечный день», соцработник Наталья.

Наталья заметила, что бабушка чувствует себя неважно, поэтому спешит измерить ей артериальное давление. Потом – к плите.


«Ну вот, я чаю вам налила, попейте. Вот каша. Сейчас новости не смотрите, переживать ни к чему. Лучше в 11 часов свой сериал включите», – заботится Наталья.
Любовь Алексеевна очень рада, ведь для нее соцработник – чуть ли не единственная связь с внешним миром. За порог пожилая жещина уже давно не выходит. Поэтому старается пообщаться с Натальей на разные темы: «Какая погода сегодня? В аптеке очереди не было? А молоко свежее, сегодняшнее?»

Бабушка живет одна, передвигается в инвалидной коляске. «Пока еще могу вставать. Очень боюсь совсем остаться без ног. Сын далеко живет, если я совсем слягу, то кто мне поможет? Я ведь большая, тяжелая. Меня так просто и с места не сдвинуть», – переживает она.


В Челябинской области более 36 000 человек получают услуги соцработников и сиделок.
У каждого из одиноких пожилых людей разное состояние здоровья, физические возможности, разный возраст, но все они нуждаются в одном – регулярном качественном уходе. А еще для многих наличие социального работника – это возможность жить дома, а не в доме престарелых.

Несмотря на то, что у большинства подопечных есть дети, внуки, племянники, пожилые люди часто живут в одиночестве. К кому-то иногда приезжают родственники в гости, а о ком-то вообще не вспоминают...

«Это очень грустно. И хотя я стараюсь не принимать все близко к сердцу, но мне жалко подопечных до слез. Знаю, что им всем хочется со мной поговорить, а мне говорить  особо некогда – мне надо бежать», – говорит Наталья.
Всего у нее 15 подопечных, таких, как Любовь Алексеевна. Трое прикованы к постелям, не встают. Нужно помыть бабушек и дедушек, подгузники им поменять, переодеть подопечных, простыни перестелить...

Одновременно надо приготовить обед, накормить старичков. Потом заняться уборкой. А еще так важно доброе слово сказать, причем с улыбкой.

«Одинокие старички и старушки часто вспоминают о том, что они одиноки... Бывает, конечно, что капризничают, как дети.

А бывает, что их «накрывает», и они просто плачут. Это очень страшно и тяжело. К концу рабочего дня очень устаю. Понимаю, что пока помогаю чужим людям, забываю о себе и о своей семье», – признается Наталья.


В Челябинской области около 2 500 социальных работников. На такую работу мужчины не идут. Да и не каждая девушка или женщина согласится на такие условия.
Зарплата у сотрудников скромная, зато сколько надо затратить сил, а сколько нервов! Не так просто помогать тяжелобольным и пожилым людям, ухаживать за ними, следить за порядком в их домах, общаться с каждым, быть аккуратным, вежливым, внимательным.

К примеру, подопечные просят купить ту еду, какая им нравится, а еще у каждого – свой список лекарств и свои схемы их приема, свои любимые темы для разговоров…

Общественная организация «Солнечный день» запускает проект по обучению соцработников Челябинской области современным методикам ухода за тяжелобольными и пожилыми людьми.

Как рассказывает руководитель проекта Екатерина Семенова, чтобы самостоятельно перевернуть без особых усилий человека весом 100 килограммов, который неподвижен, посадить его в кровати, затем помыть и переодеть, нужно знать, как все это правильно сделать.

И при этом – очень важно! – сберечь свое здоровье. Поэтому в программе обучения соцработников запланирована профилактика эмоционального выгорания и основы общения с подопечными.

Источник: Из архива социальной службы с. Долгодеревенское Челябинской обл.
Общественная организация «Солнечный день» собирает 275 000 рублей на проведение обучающих семинаров по организации ухода за тяжелобольными людьми и инвалидами для соцработников.

На  эти средства создадут методички, рекомендации по уходу за подопечными, оплатят работу троих преподавателей, а также организуют кофе-брейки для участников во время обучения.

«Всем пожилым людям, особенно тяжелобольным, очень важно, чтобы рядом с ними был заботливый и добрый человек, который в сложный момент просто скажет: «Не бойся, я с тобой», – говорит Наталья."	https://dobro.mail.ru/projects/ne-bojsya-ya-s-toboj/
"«Человек-радио» – так в шутку называют Сашу в семье. «Я мечтала, что мой сын будет болтуном, потому что сама я очень стеснительная. Вот, он уже все мои мечты исполнил», — смеется его мама Кира.

Саша необычайно любознательный и жизнелюбивый парень. ​Он живет в городе Балаково Саратовской области и дистанционно учится на юриста в Московском колледже современного управления, права и социального обеспечения.

Парень обожает географию и историю – может часами рассказывать о нашей и других странах. Уговаривает маму купить какую-нибудь машину, чтобы поездить по России, ведь вокруг так много интересного!

Вкусы у мамы с сыном во многом совпадают. «Саша говорит, что он бы посидел за гитарой с Высоцким и с Цоем, но их уже нет. У меня всегда было ощущение, что он не в то время родился», – рассказывает Кира.

А еще Саша мечтает побывать на заводе Мерседес – ему интересны и машины, и сам процесс их производства. Вторая его большая мечта – съездить в США.

Вообще, Сашка с мамой не боятся мечтать – они по опыту знают: сильные желания могут исполняться. Ведь советовали же Сашиной маме… готовиться к похоронам собственного сына, когда ему исполнится 12. И вот, Сашке уже 18!
До года Саша рос обычным ребенком, а потом стал часто спотыкаться и падать на ровном месте. Врачи долго твердили: мол, это просто тонус мышц, со временем пройдет.

В 7 лет мальчик пошел в первый класс. Однажды школьный фельдшер спросила у мамы, почему на переменках Саша стоит в стороне, около стены. Не бегает и не прыгает, как другие дети.

Кира тогда ответила: «Если он у меня сейчас начнет двигаться, то либо его сшибут, либо он сам 20 раз упадет».
Фельдшер взяла ситуацию в свои руки, связалась с участковым педиатром, чтобы он дал семье направление на обследование в областной центр.

Но потом снова наступило затишье, пока в город из Саратова не приехал известный ортопед. Специалист, осмотрев мальчика, поставила под вопросом два дигноза: миодистрофию Дюшенна и Эрба-Рота – и снова направила маму с сыном в Саратов.

«Мы туда приехали, и заведующая огорошила – сказала, чтобы в 12 лет планировали похороны», – вспоминает Кира.
​В итоге врачи диагностировали у Саши миодистрофию Дюшенна. Маме мльчика они лишь сказали, это редкое генетическое заболевание, которое разрушает мышцы мальчишек. После этого они оставили семью один на один с бедой.

Никто не объяснял Сашиной маме, что ей теперь делать с сыном, можно ли ему помочь и если да, то как. Никто не сказал ей, как им теперь вообще жить, никто не дал конкретных рекомендаций, никто не поддержал. В итоге когда мама прочла, что ждет ее мальчика, у нее случилась истерика.

В 2009 году Саше оформили инвалидность – и наступила тишина. На ежегодном осмотре невролог лишь говорила: «Радуйтесь, что живы». Единственное, что мальчик принимал, – витамины группы B.
В феврале прошлого года Саша с мамой приезжали в Москву на проект благотворительного фонда «МойМио» «Клиника MDD». Парня впервые обследовали редкие специалисты по его заболеванию, с ним работали физиотерапевт, пульмонолог, ортопед, кардиолог, педиатр, гастроэнтеролог, эндокринолог, невролог.

Саше провели функциональную диагностику: УЗИ сердца, ЭКГ, взяли у него анализы по 26 показателям. Впервые за много лет жизни с болезнью семья получила подробные рекомендации по борьбе с недугом.

Сейчас Саша в том возрасте, когда болезнь прогрессирует на мышцах. Ему тяжело дышать, спать по ночам стало просто невозможно.
Жизненная емкость легких у парня снижается, и ему нужна помощь – аппарат неинвазивной вентиляции легких (НИВЛ), который возьмет часть нагрузки по дыханию на себя. Без этого устройства Сашка скоро не сможет сам дышать.

Благотворительный фонд «МойМио» собирает 419 200 рублей на аппарат НИВЛ Vivo 40, расходные материалы к нему, маски и настройку прибора.

Давайте поможем Саше осуществить свои мечты, ведь он по опыту знает: если чего-то сильно захотеть, это может случиться. Давайте подарим парню дыхание!"	https://dobro.mail.ru/projects/podarit-dyihanie-dlya-sashi/
"«Почему листья зеленые?», «Что такое железо?», «Почему идет дождь?», «Что такое компьютер?» – любознательную Настю интересует все на свете, и она задает десятки вопросов. К счастью, в жизни девушки, наконец, появились люди, которые готовы помочь ей найти ответы.

Пару лет назад Насте исполнилось 18, и ей, в силу возраста, пришлось покинуть детский дом, в котором она прожила большую часть жизни, и расстаться со всеми своими друзьями. Одни разъехались по другим интернатам, другие остались в приюте. Связи с ними у девушки больше нет.

Теперь Настя живет в психоневрологическом интернате (ПНИ), и у нее появилась мечта – хотя бы ненадолго выходить за его пределы. Хотя бы на несколько часов ощущать себя свободной.
Недавно Насте это удалось. Она побывала на настоящем балу для таких же, как она – ребят с инвалидностью.

Ежегодно более ста особых детей и подростков становятся участниками грандиозного мероприятия. На балу ребята поют и танцуют вместе со звездами театра, эстрады и кино: артистами Мариинского и Михайловского театров, с популярными исполнителями.


Теперь Настя без конца просит поставить ей песни группы «Руки вверх». За те две-три минуты, что длится песня, можно словно вновь побывать там, за границами ПНИ.
Волонтеры рассказали Насте еще об одном способе выходить за пределы интерната, видеть мир, узнавать про него, искать ответы на десятки и сотни своих вопросов. Теперь Настя знает, что на свете есть компьютеры, социальные сети и интернет.

«История с Настей натолкнула нас на мысль о том, чтобы открыть в ПНИ компьютерный класс и обучать ребят компьютерной грамотности, – рассказала руководитель отдела сопровождения Женя Шандер. – Мы хотим подарить им глоток свободы и способ коммуникации с внешним миром».

Теперь каждое утро Настя просыпается с мечтой пообщаться со старыми друзьями в социальных сетях. Она и подруг из ПНИ заразила идеей освоить компьютер! А еще девушки строят планы, как будут общаться со своими друзьями из других интернатов. Ведь видятся они с подопечными других ПНИ очень редко, порой раз в год.

Мечтает Настя и о других, таких привычных для нас, вещах: хотя бы на экране увидеть другие города, красивую природу, смотреть свою любимые мультфильмы и много-много слушать группу «Руки вверх». Ведь это и есть тот самый глоток свободы, причем для всех постояльцев интерната!
Благотворительная организация «Шаг навстречу» собирает 300 000 рублей, чтобы оплатить труд специалиста по обучению компьютерной грамотности в течение 6 месяцев (ставка специалиста – 350 рублей/час).

На первых порах компьютерный класс оборудуют для шести человек, однако потом посещать занятия смогут все желающие. Большинство из них никогда не пользовались компьютером.

Дни в психоневрологическом интернате (ПНИ) тянутся медленно, и каждый из них похож на предыдущий, так что у попавших туда, как у отважных исследователей, может возникнуть чувство одного бесконечного полярного дня. Правда, на этом «романтика» путешествий заканчивается.

Подопечные ПНИ почти не покидают так и не ставших родными стен и медленно угасают. Лишь редкие встречи с кем-то «с воли», например, с волонтерами, привносят глоток свободы в жизни тех немногих, кто еще не замкнулся в себе окончательно и ждет этих коротких свиданий с большим миром.
Подарим ребятам возможность увидеть этот огромный и такой удивительный мир!"	https://dobro.mail.ru/projects/preodolet-izolyatsiyu/
"В марте 2017 года студент - медик Евгений Косовских начал самостоятельно оказывать медико-профилактическую помощь людям на улице. Вскоре появился проект ""Другая медицина"".

Еженедельно арендованный минивен с волонтерами выезжает на теплотрассы. В машине мы проводим прием, оказываем помощь в виде простых, но необходимых мер - перевязок ран, выдачи жаропонижающих и обезболивающих безрецептурных лекарств, индивидуальных средств гигиены, теплых носков и др. 
Проводим беседу о профилактике важных и значимых заболеваний, таких как туберкулез, ВИЧ, гепатит B и С. 
Нуждающихся направляем в лечебные учреждения для обследования ФОГ и сдачи анализов на инфекционные заболевания. Также на месте обследуем подопечных с помощью экспресс-тестов на гепатит С и ВИЧ. 
Проводим осмотры на наличие ожогов, обморожений и гангрен.



За время работы проекта ""Другая медицина"" проведено 199 выездов, 1238 осмотров, сделано 652 перевязки ран, госпитализировано 47 человек.

Уже через год работы проекта случаи обморожения среди наших подопечных сократились до нуля.

Через 2 года на базе проекта была создана организация - АНО социальной помощи нуждающимся «Другая медицина».


На примере нашей работы, в других городах России появились подобного рода проекты по оказанию медико-профилактической помощи бездомным людям. Состоялась встреча с Президентом РФ, на которой мы попросили о легализации Уличной медицины, с помощниками из других регионов написано предложение в законопроект о внесении изменений в Конституцию РФ. 

Выпущена документальная книга «Другая медицина», тираж 3 000 экземпляров, издательство (г. Москва).

Почему мы это делаем:


Человек, попавший в трудную жизненную ситуацию, сталкивается с непониманием в обществе и отсутствием полноценной медицинской помощи.

Имея неопрятный вид, специфический запах и трудности в коммуницировании, бездомные люди стесняются посещать общественные места и медицинские учреждения. Тем самым усугубляется состояние здоровья, острые заболевания переходят в хронические, повышается риск инвалидизации и потери контроля над распространением инфекционных заболеваний среди населения.




Для получение бездомному человеку медицинской помощи в муниципальной больнице необходимы документы (паспорт, СНИЛС, медицинский полис), которых, как правило, у него нет. Без данных документов человека смогут принять только с острой патологией и оказать экстренную помощь, но в таком случае бездомный выписывается ""на улицу"" с не зажившими ранами, швами и врачебной рекомендацией - ""обработка и снятие швов по месту регистрации"". Для бездомных людей и людей, попавших в трудную жизненную ситуацию, восстановление документов кажется задачей невыполнимой и неприятной.

Выездная бригада организации «Другая медицина» направлена на человеческое отношение и оказание доврачебной помощи бездомным как непосредственным членам нашего общества.




На что будут направлены собранные средства:


В 2019 году у нас наконец появилось свое помещение. Имея 118 кв.м., мы хотим обустроить амбулаторный кабинет и склад вещей, которые будем раздавать бездомным. Выезды к подопечным проводятся круглый год, приходится зимой оказывать медицинскую помощь на улице, в фургоне. 

Именно поэтому нам необходим теплый амбулаторный кабинет, куда можно пригласить узких специалистов для осмотра подопечных без документов, которых не могут принять в больницах. Также, в нашем центре подопечный может переодеться, помыться и получить медико-профилактическую помощь.

На собранные деньги будут приобретены: стол врачебный, стол процедурный, ящики для документов, 3 шкафа для хранения медикаментов, маленький холодильник для хранения специальных медикаментов, кушетка, ширма, вешалка, световая лампа для осмотра, рециркулятор для кварцевания, баки для дезинфекции инструментов и др.


Вот таким мы хотели бы видеть наш амбулаторный кабинет. В социальных сетях мы регулярно показываем, как продвигается ремонт помещения, что было сделано и закуплено.
Мы надеемся, что сможем в кратчайшие сроки обустроить наш кабинет и оказать помощь первым подопечным, и возможно тогда мы подарим им частичку веры в добро, которого им так не хватает."	https://boomstarter.ru/projects/dm/drugaya_meditsina_ambulatornyy_kabinet_dlya_osmotra_bezdomnyh
"2020 год Указом Президента РФ объявлен Годом памяти и славы в честь 75-летия Победы в Великой Отечественной войне. В преддверии этого юбилея мы запустили проект «Ровесникам Победы - посвящается». Он предполагал, что седовласые Ровесники Победы, которым по 75 лет, проедут по местам боевой славы их отцов и дедов в города – герои: Керчь, Новороссийск, Севастополь и возложат цветы к памятникам погибших. Провести вечер военных песен «Синий платочек» и подарить им абонемент для одиноких ровесников в досуговый Клуб «Шанс для двоих». Но Всемирная Пандемия короновируса вносит в нашу жизнь свои коррективы. В Кремле не планируют отменять проведение парада Победы, но и могут провести корректировку даты и перенести празднование либо на:

2 сентября 2020 года (окончанию Второй мировой войны (2 сентября 1945 года)

7 ноября 2020 года (параду, который состоялся на Красной площади 7 ноября 1941 года, когда фашистские захватчики вплотную подошли к Москве.)

Но в любом случае память о погибших отменять нельзя. И мы решили свой проект также обновить, скорректировать даты.

1.Изменить название: - «ПОБЕДИМ КОРОНОВИРУС и ОТДАДИМ ЧЕСТЬ - ВЕЛИКОЙ ПОБЕДЕ - 75»

2.Продлим срок сбора средств на проект.

3.Перенесём экскурсии Ровесников Великой Победы в города герои: Новороссийск, Керчь, Севастополь, для возложения цветов и почтения памяти павших на более поздний срок.

4.Перенести проведение вечера: «Песни весны 1945 «Синий платочек»»

5.Подарить БЕССРОЧНЫЕ АБОНЕМЕНТЫ ОДИНОКИМ в Досуговый Клуб.

Великая Отечественная война 1941 – 1945 г .г. Величие её - в мужестве и героизме участников. Трагедия – в гибели лучших сынов и дочерей. Считается, что общее число потерь Советского Союза за годы войны 27 млн. человек. После трудного военного пути длиной в 1418 дней и ночей была победная весна – весна 45-го года. Она была отмечена салютами, восторженным криком «Ура!» и – возвращением домой. Вернулись те, кто отвоевали и остались живы. А те, кто не воевали, а трудились в тылу, зажили другой, мирной жизнью.

« Ну вот и снова грянула весна

Под птичьи свиристели и волынки!

Мир вновь, как на раскрашенных картинках!

(Э. Асадов)

Нет, мир на самом деле не напоминал «раскрашенные картинки», но люди хотели жить, создавать семьи, строить дома.

В середине 1944 и в течение всего победного 1945г. рождались дети, Дети - Ровесники великой Победы. В 2020 году им столько же, сколько юбилейному празднику 9 Мая – 75 лет. Каким выросло это поколение? К чему стремились они, дети послевоенных лет? О чём мечтали? Сбылись ли их мечты? Захотелось встретиться с ними, познакомиться с судьбами тех, кого называют ровесниками Победы и провезти их по памятным боевым местам, местам, где каждая пять земли, обагрена кровью их отцов и дедов. И чтобы они, седовласые люди, поклонились этой земле.



ПРОВЕСТИ ЭКСКУРСИИ ДЛЯ РОВЕСНИКОВ ПОБЕДЫ ПО МЕСТАМ БОЕВОЙ СЛАВЫ.

- организовать экскурсии по близлежащим городам – героям: Севастополь, Новороссийск, Керчь;

- организовать вечер – Песни весны 1945 года «Синий платочек»;

- одиноким подарить годовой абонемент в досуговый Клуб «Шанс для двоих»"	https://boomstarter.ru/projects/Serdze88/rovesnikam_velikoy_pobedy_-_75_-_posvyaschaetsya
"Меня зовут Максим Батырев, я автор книг-бестселлеров «45 татуировок менеджера», «45 татуировок продавана» и «45 татуировок личности».

В своей жизни я прошёл непростой, но интересный путь от простого специалиста по продажам до топ-менеджера и успешного предпринимателя. На данный момент я обладаю премиями «Коммерческий директор года», «Менеджер года», «Бизнес-автор года» и «Бизнес-спикер года», являюсь основателем ""Batyrev Consulting Group"".

Несколько лет назад я открыл для себя книги Антона Макаренко.

Люди удивляются, когда узнают, что я открыл его для себя не так давно, потому что находят много общего в наших стилях управления. Прекрасно понимаю, что до Антона Семеновича мне еще очень далеко, но, когда я читал его, у меня все время складывалось ощущение, что я знаю, что он сделает в следующий момент.

Большое впечатление на меня произвела книга ""Педагогическая поэма"".

Эх, если бы эта книга встретилась на моем пути раньше, то я гораздо раньше определился бы с тем, какими ценностями должен быть пропитан любой руководитель для создания образцового подразделения! Мне они, действительно, очень близки. Я думаю, что эти ценности близки всем, кто умеет и любит добиваться результатов.

«Педагогическая поэма» в свое время была одной из основных книг, которую рекомендовали читать всем нашим советским учителям.

Я же рекомендую читать ее всем тем, кто считает себя руководителем. Это настоящий учебник по антикризисному управлению. Сюжет книги берет начало с того, что достаточно молодому педагогу, бывшему полковнику Макаренко, приходиться возглавить небольшую колонию малолетних преступников, которые во времена Гражданской войны остались без родителей и промышляют кто чем может: кто грабежом, кто попрошайничеством, а кто просто мелким воровством. Естественно, его новые подопечные вообще не хотят ни подчиняться своему новому начальнику, ни тем более развиваться, учиться и работать.

Макаренко так же являлся и гениальным педагогом. Свидетельством международного признания А. С. Макаренко стало известное решение ЮНЕСКО, касающееся всего четырёх педагогов, определивших способ педагогического мышления в ХХ веке. Это — Джон Дьюи, Георг Кершенштейнер, Мария Монтессори и Антон Макаренко.

А.С. Макаренко известен тем, что организовал и возглавил колонии для несовершеннолетних нарушителей и беспризорных детей. К Макаренко приходили дети, которые настолько уже были испорчены, что не могли жить в нормальном обществе: воры, хулиганы, девочки-проститутки. Родители привозили своих детей, когда уже сами не могли с ними справиться. А Макаренко - мог. Он достиг такого мастерства в воспитании детей, что мог с уверенностью сказать: «Воспитание - легкое дело».

У меня возникла идея организовать возведение мемориальной доски в Москве в память об Антоне Семеновиче Макаренко. Такого рода проектам следует быть народными и я призываю всех, кто разделяет мою идею и чувствует принадлежность и благодарность к тому вкладу, что внес Антон Семенович, поддержать проект. От меня, в свою очередь, вы получите памятные вознаграждения с моими пожеланиями, автографами и слова благодарности.

Поддержите проект и станьте частью культурного наследия!

В качестве вознаграждений мы с командой приготовили вам полезные и памятные инструменты, которые повысят вашу мотивацию и сделают вас более эффективными. Каждый лот придет к вам с моим автографом и пожеланием, я уважаю каждого спонсора проекта, кто разделяет мои ценности - а уважение, как известно, нельзя купить в магазине. Каждое вознаграждение от меня вы можете купить за указанную сумму или больше - так как все средства будут направлены на организацию данного проекта. Мы не преследуем коммерческий интерес, но хотим сделать этот проект народным. Мы делаем историю, частью которой может стать каждый."	https://boomstarter.ru/projects/591685/memorialnaya_doska_velikomu_pisatelyu_antonu_makarenko
"Всем привет! Мы - движение ""Молодёжь за мир"".

Уже несколько лет мы готовим горячие бутерброды и чай и угощаем бездомных и бедных людей на 8 маршрутах в Москве. Помимо еды мы приносим одежду, помогаем с документами, ищем родственников, но самое главное - общаемся, дружим, поддерживаем, относимся по-человечески.

Большинство из нас - студенты, и мы занимаемся этим в свободное от учебы и работы время. В своём служении мы вдохновляемся деятельностью Общины святого Эгидия, появившейся в Италии в 1968 году и имеющей опыт дружбы и солидарности с бедными людьми в разных частях мира (santegidio.org).

Встречая бездомных людей, стариков и инвалидов в интернатах, мигрантов, мы обнаружили, что человеческий подход и дружеское расположение являются большой помощью, с которой могут начинаться большие изменения. Часто простая улыбка или доброе слово могут дать человеку гораздо больше тепла, чем кажется. И многие могут подарить это тепло, не только специалисты или профессионалы, потому что все мы можем быть друзьями.
Каждую неделю в свободное от учёбы или работы время мы бескорыстно угощаем бездомных людей горячей едой на 11 маршрутах, навещаем пожилых людей и инвалидов в трех интернатах, проводим занятия с детьми в ""Школе мира"", устраиваем лекции и другие мероприятия. 

Каждую неделю на еду для бездомных мы тратим около 3500 рублей."	https://boomstarter.ru/projects/914463/obedy_dlya_bezdomnyh_do_iyulya_2019_goda
"Здравствуйте, я – Сергей Богдановский, руковожу общественной организацией инвалидов «Таганай» в городе Ноябрьск, в Ямало-Ненецком автономном округе. Уже более 2 лет мы оказываем услуги по перевозке инвалидов на автобусе, оборудованном специальным подъемником. Благодаря нашему «социальному такси» ежемесячно 40 людей с ограниченными возможностями здоровья могут примерно 5 раз съездить в магазин, к друзьям, в поликлинику, на мероприятие в городской дом культуры…да мало ли еще потребностей у людей.

Но есть еще 80 человек в нашем городе, которых, к сожалению, мы не можем обслужить. Просто не успеваем. Мы постоянно работаем над оптимизацией процесса оказания услуги, и считаем, что наш путь – автоматизация!

Например, для удобства и сокращения времени погрузки и загрузки инвалидов через боковую дверь необходимо использовать вместо подставки, которая переставляется вручную под порог, автоматизированную современную подножку.

Подножка будет открываться автоматически вместе с дверью. Дверь будет оборудована электроприводом. Это сократит время оказания услуги для одного человека примерно на 3 минуты. А это в свою очередь позволит увеличить количество наших пассажиров на 10-15 %. То есть в месяц можно будет обслужить уже 44 человека и оказать им 220 услуг! 
Для установки этого специального оборудования нужно съездить в ближайший фирменный центр Ford в городе Сургуте, который находится в 360 километрах от Ноябрьска.

Мы уже едем 1 июля!

Для этого требуется собрать всего 40 000 рублей, которые необходимы, что бы установить эту подножку и наше «социальное такси» будет работать лучше и поможет еще большему числу людей с ограниченными возможностями здоровья, но с неограниченным желанием жить полноценной жизнью!"	https://boomstarter.ru/projects/taganai89/sozdanie_komfortnyh_usloviy_perevozki_invalidov_v_arktike